date,Clinton,Sanders,O'Malley,Fiorina,Trump,Carson,Cruz,Rubio,Bush
2015-01-01,232,46,16,12,75,37,77,76,295
2015-01-08,283,30,12,23,99,40,155,160,345
2015-01-15,360,37,14,17,84,72,138,151,247
2015-01-22,348,33,3,32,144,71,234,174,370
2015-01-29,468,37,13,29,43,88,148,149,509
2015-02-05,359,60,10,12,27,58,122,104,388
2015-02-12,430,32,7,16,93,37,109,90,507
2015-02-19,512,29,10,54,89,60,120,144,422
2015-02-26,927,33,46,79,109,245,254,205,564
2015-03-05,1685,50,32,19,69,81,170,163,447
2015-03-12,865,25,23,27,122,37,219,161,430
2015-03-19,661,40,27,25,59,65,1038,151,466
2015-03-26,797,34,63,68,30,58,528,243,435
2015-04-02,603,28,21,52,42,56,441,150,421
2015-04-09,2846,66,96,29,56,84,459,882,529
2015-04-16,1654,90,73,106,67,32,316,469,637
2015-04-23,1564,251,122,81,141,59,525,337,523
2015-04-30,1528,461,79,441,71,412,313,361,448
2015-05-07,1003,197,24,205,110,168,316,349,818
2015-05-14,1408,125,79,98,89,101,189,310,833
2015-05-21,1172,267,42,141,71,78,216,247,473
2015-05-28,1139,383,211,122,110,77,269,272,547
2015-06-04,928,209,54,104,114,100,188,328,679
2015-06-11,1420,358,38,152,871,98,165,354,1498
2015-06-18,945,233,50,70,406,107,280,231,635
2015-06-25,1076,308,49,77,1111,104,343,279,685
2015-07-02,1068,480,59,72,1258,79,259,303,552
2015-07-09,1274,539,64,131,1780,105,276,331,911
2015-07-16,1031,515,89,75,2147,107,324,337,808
2015-07-23,1426,404,89,95,1862,84,489,258,617
2015-07-30,1689,544,74,235,2041,315,569,466,1122
2015-08-06,2122,959,89,773,3585,433,592,711,1349
2015-08-13,2048,732,101,332,2715,291,247,399,1126
2015-08-20,1229,524,66,225,2362,177,403,296,1060
2015-08-27,1538,603,98,278,2302,336,335,294,837
2015-09-03,1714,620,68,240,2269,309,457,242,931
2015-09-10,1498,943,77,731,3341,937,539,386,1036
2015-09-17,1864,862,54,1356,3136,1017,529,551,1121
2015-09-24,1582,526,45,596,2128,592,428,542,714
2015-10-01,2114,805,76,353,1494,599,252,438,704
2015-10-08,2677,1873,386,247,1619,725,257,317,501
2015-10-15,2313,1282,112,252,1659,616,418,466,1024
2015-10-22,2466,864,130,358,2043,1312,449,734,1135
2015-10-29,1582,809,73,371,1759,1089,710,1337,1533
2015-11-05,1655,935,120,530,2234,1917,706,1043,1191
2015-11-12,1787,1210,342,217,1537,1056,862,748,842
2015-11-19,1250,613,72,148,1956,803,605,613,528
2015-11-26,962,352,65,163,1578,591,605,394,457
2015-12-03,1236,561,74,152,3570,595,956,628,653
2015-12-10,1283,484,59,360,4503,799,1817,1061,892
2015-12-17,1996,1346,196,146,2715,367,1065,744,580
2015-12-24,1047,472,46,77,1639,191,389,364,348
2015-12-31,153,77,23,10,233,77,79,49,70
