,polls,mentions,pctmentions,pctpolls
Clinton,53.97383512544803,22521,62.59658680304631,62.62746903428283
Sanders,29.508870967741938,11683,32.472622157985434,34.240033128525354
O'Malley,2.6996607782898105,1774,4.930791038968258,3.132497837191804
Fiorina,3.6202468997460033,3384,4.751207458160171,4.552354877248919
Trump,31.44693149559241,28539,40.06935864315399,39.54359907842658
Carson,16.49667679852084,10737,15.074974727619903,20.744089881663697
Cruz,10.778090215523681,9170,12.874873638099517,13.553134059312512
Rubio,10.76220958464067,8936,12.546332696843761,13.533164629200124
Bush,6.420552489541312,10458,14.683252836122655,8.073657474148176
