,Clinton,Sanders,O'Malley,Fiorina,Trump,Carson,Cruz,Rubio,Bush
2015-01-01,,,,,,,,,
2015-01-08,61.0,3.0,0.0,,,10.0,9.0,2.0,12.0
2015-01-15,59.0,4.0,2.0,,,,,,
2015-01-22,57.857142857142854,2.4285714285714284,1.4285714285714286,,,12.428571428571429,6.857142857142857,5.0,14.0
2015-01-29,,,,,,,,,
2015-02-05,,,,,,,,,
2015-02-12,61.0,3.0,1.0,1.0,,8.0,3.0,5.0,14.0
2015-02-19,61.0,6.5,0.5,0.0,,12.0,5.0,5.5,16.5
2015-02-26,57.77777777777778,4.444444444444445,0.4444444444444444,2.0,,7.888888888888889,5.111111111111111,5.0,17.333333333333332
2015-03-05,59.0,7.0,4.0,,,,,,
2015-03-12,61.5,6.0,1.5,0.0,,9.0,4.0,7.0,16.0
2015-03-19,64.0,7.0,3.0,3.0,,10.0,8.0,5.0,14.0
2015-03-26,59.4375,5.375,1.875,1.0,5.0,8.625,12.9375,6.6875,16.3125
2015-04-02,60.0,7.0,2.0,1.0,7.0,7.0,11.0,5.0,13.0
2015-04-09,71.0,7.0,1.0,3.0,,7.0,13.0,7.0,12.0
2015-04-16,63.5625,6.5,1.9375,1.0625,5.0,5.125,8.6875,12.5,13.25
2015-04-23,59.0,10.0,2.0,1.4285714285714286,,6.142857142857143,9.285714285714286,17.571428571428573,17.0
2015-04-30,58.0,17.0,2.0,0.25,,4.75,8.0,12.75,16.25
2015-05-07,60.705882352941174,9.058823529411764,0.8235294117647058,2.2857142857142856,4.0,9.941176470588236,7.647058823529412,13.470588235294118,12.705882352941176
2015-05-14,57.75,10.125,1.375,2.0,5.0,9.25,5.625,12.625,10.75
2015-05-21,57.666666666666664,15.666666666666666,1.6666666666666667,2.0,5.0,10.666666666666666,6.0,12.0,10.0
2015-05-28,60.15384615384615,10.461538461538462,2.5384615384615383,2.4615384615384617,3.7,8.0,7.769230769230769,9.76923076923077,12.307692307692308
2015-06-04,57.0,11.0,1.0,7.0,,10.0,7.0,10.0,8.0
2015-06-11,64.93333333333334,12.8,2.3333333333333335,3.6,1.6363636363636365,10.866666666666667,5.133333333333334,11.6,15.066666666666666
2015-06-18,60.42857142857143,16.285714285714285,1.5714285714285714,2.857142857142857,9.571428571428571,10.142857142857142,6.142857142857143,10.142857142857142,13.857142857142858
2015-06-25,58.5,17.0,1.5,3.5,11.5,8.5,3.5,8.5,15.5
2015-07-02,55.0,24.0,0.0,2.75,15.5,6.5,4.5,9.0,13.0
2015-07-09,58.529411764705884,16.294117647058822,0.7647058823529411,1.2272727272727273,17.541666666666668,5.625,7.166666666666667,6.583333333333333,14.708333333333334
2015-07-16,57.0,16.928571428571427,0.5714285714285714,1.8571428571428572,23.142857142857142,7.214285714285714,4.142857142857143,6.5,13.5
2015-07-23,56.47826086956522,20.347826086956523,1.434782608695652,1.2333333333333334,23.5,6.5,5.633333333333334,5.333333333333333,12.4
2015-07-30,53.58620689655172,18.24137931034483,1.4827586206896552,1.2424242424242424,24.515151515151516,5.7272727272727275,5.909090909090909,5.424242424242424,13.212121212121213
2015-08-06,54.1,20.7,2.4,5.545454545454546,22.681818181818183,9.181818181818182,6.5,7.409090909090909,10.545454545454545
2015-08-13,47.611111111111114,25.72222222222222,1.5555555555555556,4.52,23.96,9.84,5.96,6.72,10.2
2015-08-20,47.53846153846154,21.846153846153847,1.1538461538461537,5.0,30.615384615384617,10.615384615384615,6.230769230769231,5.923076923076923,7.461538461538462
2015-08-27,46.68421052631579,22.842105263157894,1.4736842105263157,3.9473684210526314,32.78947368421053,13.473684210526315,6.0,5.473684210526316,9.368421052631579
2015-09-03,43.81818181818182,25.727272727272727,2.0,2.6818181818181817,32.77272727272727,17.727272727272727,6.136363636363637,5.0,9.045454545454545
2015-09-10,48.72,23.6,0.56,6.846153846153846,30.03846153846154,16.923076923076923,5.884615384615385,6.384615384615385,8.23076923076923
2015-09-17,44.5,25.842105263157894,0.9736842105263158,10.657894736842104,26.0,16.236842105263158,5.684210526315789,8.18421052631579,9.789473684210526
2015-09-24,46.42424242424242,22.0,0.6071428571428571,10.212121212121213,25.333333333333332,16.03030303030303,5.96969696969697,10.181818181818182,8.969696969696969
2015-10-01,46.25,24.035714285714285,0.9259259259259259,7.571428571428571,27.75,18.0,5.785714285714286,9.178571428571429,9.142857142857142
2015-10-08,49.13636363636363,24.454545454545453,1.3636363636363635,5.631578947368421,30.789473684210527,19.68421052631579,5.7894736842105265,8.105263157894736,8.368421052631579
2015-10-15,50.892857142857146,25.535714285714285,1.0357142857142858,5.310344827586207,30.689655172413794,19.620689655172413,6.344827586206897,8.275862068965518,7.137931034482759
2015-10-22,54.92307692307692,29.96153846153846,2.576923076923077,3.903225806451613,28.516129032258064,23.612903225806452,6.290322580645161,9.0,7.580645161290323
2015-10-29,54.21212121212121,30.87878787878788,2.727272727272727,3.525,26.75,21.475,9.05,10.95,6.825
2015-11-05,55.666666666666664,31.333333333333332,3.0,3.1,29.4,20.3,9.55,10.2,6.25
2015-11-12,54.91304347826087,30.347826086956523,3.130434782608696,3.25,31.333333333333332,18.25,10.666666666666666,11.208333333333334,5.625
2015-11-19,57.125,31.75,4.375,3.3125,33.9375,12.375,12.3125,13.125,5.875
2015-11-26,55.3,31.95,2.55,2.6,31.35,15.3,13.8,12.5,5.9
2015-12-03,54.54054054054054,31.054054054054053,3.3783783783783785,2.526315789473684,33.078947368421055,11.921052631578947,13.736842105263158,12.921052631578947,5.2105263157894735
2015-12-10,56.904761904761905,28.0,3.5238095238095237,2.409090909090909,37.86363636363637,10.272727272727273,13.727272727272727,9.909090909090908,5.590909090909091
2015-12-17,56.15384615384615,31.807692307692307,3.230769230769231,2.56,35.8,8.92,18.32,11.36,5.08
2015-12-24,57.0,32.0,3.0,1.0,39.0,12.0,14.0,12.0,6.0
